AuthorID,Author,Date,Content,Attachments,Reactions,Label,Audit
279117942413721601,Dontblink#0286,17-Feb-22 17:34,,,lfg (4),,
580068886662348810,CaSHxxRaNSOM#3550,17-Feb-22 17:34,lets go,,,1,1
580068886662348810,CaSHxxRaNSOM#3550,17-Feb-22 17:34,,,,,
943276474939621377,realzzื#0122,17-Feb-22 17:34,de list,,,,
799353089664352287,Khaotik#1926,17-Feb-22 17:35,Early in floor chat whats good cosmic,,,,
805580272657235978,Mullher/fren#0445,17-Feb-22 17:35,This is brilliant,,,1,1
287949663221579777,Gkool#9912,17-Feb-22 17:35,!LFG,,,1,1
904731808485236777,Caticus#3208,17-Feb-22 17:35,https://tenor.com/view/rainbow-cat-rainbow-cat-running-gif-15514724,,,,
898986082312544277,savejalda#1197,17-Feb-22 17:35,Delist haha,,,,
813910765337182219,Jmark#7202,17-Feb-22 17:35,Delist unless 1 eth,,"🔥 (1),🚀 (1)",,
943276474939621377,realzzื#0122,17-Feb-22 17:35,what’s funny?,,,,
898986082312544277,savejalda#1197,17-Feb-22 17:35,Because people need to delist,,,,
534419121719476242,JuanWick#8884,17-Feb-22 17:35,,,,,
930942365399650355,UNNAMED321#2459,17-Feb-22 17:35,List at minimum .8 eth,,,,
898986082312544277,savejalda#1197,17-Feb-22 17:36,1 ETH min,,,,
547838132461240325,🥷🥷#7320,17-Feb-22 17:36,HELLOO,,,,
881065367500390430,fxm1#0206,17-Feb-22 17:36,Long overdue,,,,
547838132461240325,🥷🥷#7320,17-Feb-22 17:36,3 ETH NEXT 🤣🔜,,,,
914912611647234048,tinylamb_#4945,17-Feb-22 17:36,Cheers for setting this up!,,,,
624755146710319115,Henry4pF#5345,17-Feb-22 17:36,floor is thin in 3 hours we should be back at a all time high LFGG,,,1,1
801502024201011271,Cozy#4364,17-Feb-22 17:37,What time are yall teasing the new mutation i needa know how much time i have to snag one off the floor 😂😭,,,,
279117942413721601,Dontblink#0286,17-Feb-22 17:38,soon 👀,,,,
801502024201011271,Cozy#4364,17-Feb-22 17:45,Im weak,,,,
469441520332832779,WhaleV#3813,17-Feb-22 17:45,.8 or 1 eth after reveal,,,,
423999165350150144,phunami#6601,17-Feb-22 17:46,After reveal usually go down a bit,,,,
464508404400914432,Donairdaddy#4352,17-Feb-22 17:46,Finally,,,,
469441520332832779,WhaleV#3813,17-Feb-22 17:46,I bet. @phunami,,,,
469441520332832779,WhaleV#3813,17-Feb-22 17:46,Hoping it won’t tho tbh,,,,
423999165350150144,phunami#6601,17-Feb-22 17:47,It’s 90% of the time.  Even for blue chip projects,,,,
399271897403097088,Nullinger#8984,17-Feb-22 17:47,"I hope so, want to buy another one and my bankroll is low :d",,,1,1
580075774099456020,CryptoChris#5818,17-Feb-22 17:48,Not right after there will be a dip,,,0,0
580075774099456020,CryptoChris#5818,17-Feb-22 17:48,It could happen in a couple days,,,,
469441520332832779,WhaleV#3813,17-Feb-22 17:48,I’m here for it,,❤️ (3),,
856158030622359582,Temi 💎🌹#7928,17-Feb-22 17:59,Talk about floor here don't come to general,,,,
924729597885575198,dropyourjaw#3542,17-Feb-22 18:00,not less than 1 eth,,💯 (1),,
749018668892946504,Jaken33#1241,17-Feb-22 18:01,it won't be instant. There will be some panic sellers and we likely will see a dip after the reveal,,,0,0
912121916515573791,marcob22#5236,17-Feb-22 18:01,1.5ETH MINIMUM! 🤩🤩🤩🤩,,🤘🏽 (3),,
882643203403165756,NatalijaRizla#1326,17-Feb-22 18:06,When is reveal?,,,,
549334349254754304,Magnum_Opus99#0068,17-Feb-22 18:06,In 5 hours afaik,,,,
498050946660827136,lemooon#7269,17-Feb-22 18:07,Nah guys don’t kill it start at 0.7,,,,
464508404400914432,Donairdaddy#4352,17-Feb-22 18:10,These bots don't stop lowering the floor each time momentum is back,,,,
464508404400914432,Donairdaddy#4352,17-Feb-22 18:10,Then papers join in sheesh,,,,
469441520332832779,WhaleV#3813,17-Feb-22 18:10,Fr,,,,
469441520332832779,WhaleV#3813,17-Feb-22 18:10,Sucks,,,0,0
578037929667067915,BCGroup352#1703,17-Feb-22 18:10,I’ll be in soon!,,,,
933064134260555856,Samurai d3f | Cosmic Cats#8040,17-Feb-22 18:13,Gonna try n grab more if they keep droppin,,,1,1
740603219557875780,BrandYn#3470,17-Feb-22 18:16,"GM vibes at 10:30 (15 mins) if you wanna tap in
https://twitter.com/i/spaces/1lPJqmqbLawJb",,,,
611305993774694466,chubz0r#2946,17-Feb-22 18:18,Reveal is at 5PM or 6pm EST?,,,,
894350686244978698,Inverted Mutants#9629,17-Feb-22 18:22,what floor,https://cdn.discordapp.com/attachments/943923248331112599/943935351699947560/unknown.png,"🐐 (7),👀 (1)",,
227188565568651265,SimplySunday#1111,17-Feb-22 18:23,https://tenor.com/view/holy-shit-holyshit-holyfuckingshit-adam-devine-gif-5108242,,,,
783425687536140298,AVS#8194,17-Feb-22 18:34,hey fam im trying to verify but says interaction fail,,,,
934993475210977300,armand#9999,17-Feb-22 18:35,EVERYONE JOIN https://twitter.com/i/spaces/1yoJMWrwdjWKQ,,,,
403721448075821066,{Jxnfive}Dmaxskiller29#7330,17-Feb-22 18:37,just bought one for 500$ 😦,,,,
871706666389893142,composure 🧡#0822,17-Feb-22 18:37,Space ended?,,,,
403721448075821066,{Jxnfive}Dmaxskiller29#7330,17-Feb-22 18:37,I feel shitty since Im new to this project,,,0,0
438629302205022209,s k#0001,17-Feb-22 18:38,yeah man just now,,,,
438629302205022209,s k#0001,17-Feb-22 18:38,wait what??,,,,
403721448075821066,{Jxnfive}Dmaxskiller29#7330,17-Feb-22 18:39,yeah 0.145 but the gas fees was 86,,,,
438629302205022209,s k#0001,17-Feb-22 18:41,damnn no stress man hope your here for the long run! #🚀┃holder-verify get it done!,,,,
793144739653353523,Chimm#3041,17-Feb-22 18:42,Me too! My gas was like 0.04 🥲,,,,
403721448075821066,{Jxnfive}Dmaxskiller29#7330,17-Feb-22 18:43,Done hope this project was worth it,,,,
403721448075821066,{Jxnfive}Dmaxskiller29#7330,17-Feb-22 18:43,😦,,,,
938613501302292500,youfes9797#9228,17-Feb-22 18:43,guys we need to raise the floor price !!!,,,,
